Datum,Maand,Pair,Long/Short,Win/Loss,Percentage,Notes
01-01-2024,Januari,EURUSD,Long,Win,2.5%,Goede entry bij support
05-01-2024,Januari,GBPUSD,Short,Loss,-1.2%,Stop loss geraakt
10-01-2024,Januari,USDJPY,Long,Win,3.1%,Perfect setup
15-01-2024,Januari,EURUSD,Short,Win,1.8%,Resistance hold
20-01-2024,Januari,GBPJPY,Long,Loss,-0.9%,Te vroeg ingestapt
25-01-2024,Januari,EURJPY,Long,Win,2.3%,Trend following
01-02-2024,Februari,EURUSD,Long,Win,2.2%,Clean breakout
05-02-2024,Februari,GBPUSD,Short,Win,1.5%,Supply zone rejection
10-02-2024,Februari,USDJPY,Long,Loss,-1.0%,Fake breakout
15-02-2024,Februari,AUDUSD,Short,Win,2.8%,Perfect execution
01-03-2024,Maart,EURUSD,Short,Win,1.9%,Downtrend continuation
05-03-2024,Maart,GBPUSD,Long,Win,2.4%,Demand zone bounce